Epoch,Category,Ward Name
2018-12-01,Violence and sexual offences,Hampstead Town
2018-10-01,Violence and sexual offences,Kilburn
2018-10-01,Violence and sexual offences,Highgate
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-12-01,Violence and sexual offences,Gospel Oak
2018-10-01,Violence and sexual offences,Hampstead Town
2018-11-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-06-01,Violence and sexual offences,Kilburn
2018-11-01,Violence and sexual offences,Bloomsbury
2018-12-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-11-01,Violence and sexual offences,Holborn and Covent Garden
2018-10-01,Violence and sexual offences,Regent's Park
2018-09-01,Violence and sexual offences,Holborn and Covent Garden
2018-11-01,Violence and sexual offences,Hampstead Town
2018-10-01,Violence and sexual offences,Regent's Park
2018-09-01,Violence and sexual offences,Gospel Oak
2018-09-01,Violence and sexual offences,Fortune Green
2019-03-01,Violence and sexual offences,Holborn and Covent Garden
2018-12-01,Violence and sexual offences,Haverstock
2018-11-01,Violence and sexual offences,Haverstock
2018-09-01,Violence and sexual offences,Fortune Green
2018-10-01,Violence and sexual offences,Regent's Park
2019-06-01,Violence and sexual offences,Belsize
2018-11-01,Violence and sexual offences,West Hampstead
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-10-01,Violence and sexual offences,Fortune Green
2018-11-01,Violence and sexual offences,Haverstock
2018-10-01,Violence and sexual offences,Kentish Town
2018-09-01,Violence and sexual offences,Kentish Town
2019-03-01,Violence and sexual offences,Haverstock
2019-06-01,Violence and sexual offences,St Pancras and Somers Town
2018-11-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-09-01,Violence and sexual offences,Regent's Park
2019-05-01,Violence and sexual offences,King's Cross
2019-03-01,Violence and sexual offences,Regent's Park
2018-11-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,Regent's Park
2018-12-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-12-01,Violence and sexual offences,Highgate
2018-09-01,Violence and sexual offences,Kentish Town
2018-10-01,Violence and sexual offences,Frognal and Fitzjohns
2018-10-01,Violence and sexual offences,Bloomsbury
2018-09-01,Violence and sexual offences,Regent's Park
2018-10-01,Violence and sexual offences,Belsize
2019-03-01,Violence and sexual offences,Holborn and Covent Garden
2018-11-01,Violence and sexual offences,St Pancras and Somers Town
2018-09-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-09-01,Violence and sexual offences,Holborn and Covent Garden
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,Holborn and Covent Garden
2018-11-01,Violence and sexual offences,Gospel Oak
2018-09-01,Violence and sexual offences,Haverstock
2018-11-01,Violence and sexual offences,Belsize
2019-06-01,Violence and sexual offences,Haverstock
2018-09-01,Violence and sexual offences,Gospel Oak
2018-11-01,Violence and sexual offences,Bloomsbury
2019-06-01,Violence and sexual offences,Gospel Oak
2018-11-01,Violence and sexual offences,Holborn and Covent Garden
2019-06-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-06-01,Violence and sexual offences,Cantelowes
2019-06-01,Violence and sexual offences,St Pancras and Somers Town
2018-11-01,Violence and sexual offences,St Pancras and Somers Town
2018-09-01,Violence and sexual offences,Hampstead Town
2018-09-01,Violence and sexual offences,Regent's Park
2018-11-01,Violence and sexual offences,Regent's Park
2018-11-01,Violence and sexual offences,Holborn and Covent Garden
2019-03-01,Violence and sexual offences,Bloomsbury
2018-12-01,Violence and sexual offences,Gospel Oak
2018-12-01,Violence and sexual offences,Frognal and Fitzjohns
2018-11-01,Violence and sexual offences,Gospel Oak
2018-11-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-06-01,Violence and sexual offences,St Pancras and Somers Town
2018-09-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-11-01,Violence and sexual offences,West Hampstead
2018-10-01,Violence and sexual offences,Bloomsbury
2019-03-01,Violence and sexual offences,Bloomsbury
2018-11-01,Violence and sexual offences,Bloomsbury
2018-10-01,Violence and sexual offences,Kilburn
2018-10-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-03-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-09-01,Violence and sexual offences,Kilburn
2018-11-01,Violence and sexual offences,Regent's Park
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-12-01,Violence and sexual offences,Swiss Cottage
2018-09-01,Violence and sexual offences,Kentish Town
2019-03-01,Violence and sexual offences,Haverstock
2019-03-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-06-01,Violence and sexual offences,West Hampstead
2018-11-01,Violence and sexual offences,St Pancras and Somers Town
2018-11-01,Violence and sexual offences,Swiss Cottage
2018-10-01,Violence and sexual offences,Bloomsbury
2018-09-01,Violence and sexual offences,Bloomsbury
2018-09-01,Violence and sexual offences,Frognal and Fitzjohns
2019-05-01,Violence and sexual offences,Cantelowes
2019-06-01,Violence and sexual offences,St Pancras and Somers Town
2018-11-01,Violence and sexual offences,St Pancras and Somers Town
2018-11-01,Violence and sexual offences,Regent's Park
2019-03-01,Violence and sexual offences,Kentish Town
2018-11-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-03-01,Violence and sexual offences,Gospel Oak
2019-06-01,Violence and sexual offences,Bloomsbury
2018-09-01,Violence and sexual offences,St Pancras and Somers Town
2018-11-01,Violence and sexual offences,Regent's Park
2018-11-01,Violence and sexual offences,Cantelowes
2019-03-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-03-01,Violence and sexual offences,West Hampstead
2018-09-01,Violence and sexual offences,Haverstock
2018-12-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-03-01,Violence and sexual offences,Swiss Cottage
2018-11-01,Violence and sexual offences,Belsize
2018-09-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-11-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-03-01,Violence and sexual offences,Holborn and Covent Garden
2018-11-01,Violence and sexual offences,Holborn and Covent Garden
2018-10-01,Violence and sexual offences,West Hampstead
2018-09-01,Violence and sexual offences,Belsize
2019-03-01,Violence and sexual offences,Cantelowes
2019-06-01,Violence and sexual offences,St Pancras and Somers Town
2019-03-01,Violence and sexual offences,Gospel Oak
2018-10-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-11-01,Violence and sexual offences,Highgate
2018-10-01,Violence and sexual offences,St Pancras and Somers Town
2018-10-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-06-01,Violence and sexual offences,Regent's Park
2018-10-01,Violence and sexual offences,West Hampstead
2018-11-01,Violence and sexual offences,Kentish Town
2018-09-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-10-01,Violence and sexual offences,Swiss Cottage
2019-06-01,Violence and sexual offences,St Pancras and Somers Town
2019-03-01,Violence and sexual offences,Holborn and Covent Garden
2019-06-01,Violence and sexual offences,Cantelowes
2018-11-01,Violence and sexual offences,Holborn and Covent Garden
2018-10-01,Violence and sexual offences,Cantelowes
2019-03-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-11-01,Violence and sexual offences,King's Cross
2018-09-01,Violence and sexual offences,West Hampstead
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2019-03-01,Violence and sexual offences,Swiss Cottage
2018-10-01,Violence and sexual offences,Swiss Cottage
2018-11-01,Violence and sexual offences,Holborn and Covent Garden
2018-12-01,Violence and sexual offences,Gospel Oak
2019-03-01,Violence and sexual offences,St Pancras and Somers Town
2018-10-01,Violence and sexual offences,Haverstock
2018-09-01,Violence and sexual offences,Frognal and Fitzjohns
2018-12-01,Violence and sexual offences,Regent's Park
2018-09-01,Violence and sexual offences,Gospel Oak
2018-09-01,Violence and sexual offences,Regent's Park
2019-06-01,Violence and sexual offences,Bloomsbury
2019-06-01,Violence and sexual offences,Holborn and Covent Garden
2018-10-01,Violence and sexual offences,Regent's Park
2019-06-01,Violence and sexual offences,Gospel Oak
2019-06-01,Violence and sexual offences,Swiss Cottage
2018-11-01,Violence and sexual offences,St Pancras and Somers Town
2019-06-01,Violence and sexual offences,Gospel Oak
2019-06-01,Violence and sexual offences,Kentish Town
2018-09-01,Violence and sexual offences,Haverstock
2018-10-01,Violence and sexual offences,Kilburn
2018-10-01,Violence and sexual offences,Fortune Green
2018-09-01,Violence and sexual offences,Regent's Park
2018-10-01,Violence and sexual offences,Regent's Park
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-10-01,Violence and sexual offences,Belsize
2018-10-01,Violence and sexual offences,Highgate
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,Cantelowes
2019-06-01,Violence and sexual offences,Bloomsbury
2018-09-01,Violence and sexual offences,Haverstock
2018-09-01,Violence and sexual offences,King's Cross
2019-06-01,Violence and sexual offences,St Pancras and Somers Town
2019-06-01,Violence and sexual offences,Regent's Park
2018-12-01,Violence and sexual offences,St Pancras and Somers Town
2019-03-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-10-01,Violence and sexual offences,St Pancras and Somers Town
2018-11-01,Violence and sexual offences,Kilburn
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-11-01,Violence and sexual offences,Haverstock
2018-09-01,Violence and sexual offences,Kilburn
2018-10-01,Violence and sexual offences,Hampstead Town
2018-10-01,Violence and sexual offences,Regent's Park
2019-06-01,Violence and sexual offences,Belsize
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2019-06-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,King's Cross
2019-03-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-06-01,Violence and sexual offences,Holborn and Covent Garden
2018-11-01,Violence and sexual offences,Cantelowes
2019-06-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-09-01,Violence and sexual offences,Holborn and Covent Garden
2018-12-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-10-01,Violence and sexual offences,Kentish Town
2018-09-01,Violence and sexual offences,Kilburn
2019-03-01,Violence and sexual offences,Fortune Green
2018-10-01,Violence and sexual offences,St Pancras and Somers Town
2018-12-01,Violence and sexual offences,Haverstock
2018-09-01,Violence and sexual offences,Holborn and Covent Garden
2018-11-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-11-01,Violence and sexual offences,Regent's Park
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,Regent's Park
2018-10-01,Violence and sexual offences,St Pancras and Somers Town
2018-09-01,Violence and sexual offences,King's Cross
2019-03-01,Violence and sexual offences,Highgate
2018-09-01,Violence and sexual offences,Haverstock
2018-12-01,Violence and sexual offences,Bloomsbury
2018-11-01,Violence and sexual offences,West Hampstead
2019-06-01,Violence and sexual offences,Holborn and Covent Garden
2018-11-01,Violence and sexual offences,Gospel Oak
2018-09-01,Violence and sexual offences,St Pancras and Somers Town
2018-12-01,Violence and sexual offences,St Pancras and Somers Town
2019-06-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-10-01,Violence and sexual offences,Highgate
2018-12-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,Hampstead Town
2018-09-01,Violence and sexual offences,Haverstock
2018-12-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-06-01,Violence and sexual offences,Highgate
2018-09-01,Violence and sexual offences,Hampstead Town
2018-09-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-12-01,Violence and sexual offences,St Pancras and Somers Town
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2019-03-01,Violence and sexual offences,Cantelowes
2018-11-01,Violence and sexual offences,Kentish Town
2019-06-01,Violence and sexual offences,Gospel Oak
2018-10-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-10-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,Regent's Park
2018-09-01,Violence and sexual offences,West Hampstead
2019-06-01,Violence and sexual offences,Camden Town with Primrose Hill
2019-06-01,Violence and sexual offences,Kentish Town
2019-06-01,Violence and sexual offences,Holborn and Covent Garden
2018-12-01,Violence and sexual offences,Bloomsbury
2018-09-01,Violence and sexual offences,Haverstock
2018-11-01,Violence and sexual offences,Camden Town with Primrose Hill
2018-12-01,Violence and sexual offences,Regent's Park
2018-11-01,Violence and sexual offences,Regent's Park
2019-03-01,Violence and sexual offences,Holborn and Covent Garden
2018-09-01,Violence and sexual offences,Regent's Park
2018-10-01,Violence and sexual offences,King's Cross
2018-11-01,Violence and sexual offences,King's Cross
